Site,Region,RCA,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
KISKA/WITCHCRAFT POINT,C ALEU,2,,,,,,,,,,,,,,,,,,,,,,,28,,0,,0,,,,7,,,,,,,,
KISKA/WOLF POINT,C ALEU,2,,,,,,,,,,,,,,,,,,,,,,,9,,4,,,,,,0,,,,,11,4,,
KODIAK/CAPE ALITAK,C GULF,9,,,,,,,,,,,,,,,0,,0,,0,0,0,,0,,0,,0,,,0,0,,0,,,0,,0,
KODIAK/CAPE BARNABAS,C GULF,9,,,,,,,,107,44.4,,,0,1,0,1,,0,,0,0,0,,0,,0,,0,,,140,84,130,194,,,60,,0,
KODIAK/CAPE CHINIAK,C GULF,9,,,,,,,,873,272.6666667,,,0,95,231,154,,191,,232,113,212,,165,,102,,87,,,241,130,116,110,234,,193,,132,
KODIAK/CAPE IKOLIK,C GULF,9,,,,,,,,,,,,,,,64,,62,,105,56,50,,41,,75,,108,,52,33,57,,86,,,70,,210,
KODIAK/CAPE KULIUK,C GULF,9,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,0,0,,0,,,0,,0,
KODIAK/CAPE PARAMANOF,C GULF,9,,,,,,,,,,,,,,0,0,,0,,0,0,0,,0,,0,,0,,0,0,0,,0,,,0,,0,
KODIAK/CAPE UGAT,C GULF,9,,,,,,,,,,,,,,0,110,,140,,100,99,128,,182,,104,,2,,167,248,285,270,140,212,,220,,150,
KODIAK/CAPE UYAK,C GULF,9,,,,,,,,,,,,,,,,,0,,0,0,0,,0,,0,,,,0,0,0,,0,,,0,,0,
KODIAK/GULL POINT,C GULF,9,,,,,,,,281,0,,,0,91,81,46,,111,,40,87,70,,106,,99,,109,,,148,109,89,72,,,36,,44,
KODIAK/MALINA POINT,C GULF,9,,,,,,,,,,,,,,0,0,,0,,0,0,0,,0,,0,,0,,0,0,0,,0,,,0,,0,
KODIAK/STEEP CAPE,C GULF,9,,,,,,,,,,,,,,22,0,,0,,32,42,34,,0,,28,,0,,14,61,38,,24,,,21,,38,
KODIAK/STURGEON HEAD,C GULF,9,,,,,,,,,,,,,,0,0,,0,,0,0,0,,0,,0,,,,0,0,0,,0,,,0,,0,
KODIAK/SUNDSTROM,C GULF,9,,,,,,,,,,,,,,0,0,,0,,0,0,0,,0,,0,,0,,,0,0,,0,,,0,,0,
KODIAK/TOMBSTONE ROCKS,C GULF,9,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,0,0,,0,,,0,,0,
KONIUJI/NORTH POINT,C ALEU,4,,109,,,,,,0,,,,0,0,0,3,,1,,0,,0,,0,,0,,0,,0,0,0,,0,0,,,0,,0
KUPREANOF POINT,W GULF,7,,,,,,,,,,,,,,54,24,,75,,52,34,10,,12,,64,,53,,116,53,72,,,175,,,212,,296
LATAX ROCKS,C GULF,9,,,,,,,,1482,,,,354,519,280,193,,230,,194,170,109,,100,,145,,56,,,115,108,334,128,228,,348,,394,
LIGHTHOUSE ROCKS,W GULF,8,828,737,,,,,,,,,,172,140,168,96,,105,,114,92,131,,64,,84,,111,182,153,152,164,123,,182,,172,,178,
LITTLE SITKIN,C ALEU,2,,122,,,,,,125,,,,0,,,134,,108,,76,,80,,18,,0,,,,,,0,,,,,0,,,0
LITTLE TANAGA STRAIT,C ALEU,4,,196,,,,,,411,,,,150,55,64,51,,79,,76,,234,,234,,82,,49,,,15,36,,26,60,17,,5,,91
LONG ISLAND,C GULF,9,,,,,,,,16,,,,30,93,131,114,,141,,128,77,70,,36,,80,,32,,,,59,39,0,,,146,,64,
MARMOT,C GULF,9,8506,8450,,,,,,4983,7316.333333,,3460,2331,1766,1458,1581,,1091,,1102,780,727,,671,,848,,703,765,686,551,644,748,576,829,,1050,,1450,
MIDDLETON,E GULF,10,,,,,,,,,,,,1,,,9,,0,,0,,9,,,,0,,4,,0,0,,,0,,,0,,0,
MITROFANIA,W GULF,8,,,,,,,,,,,,,70,148,112,,192,,188,266,247,,126,,150,,182,,103,116,129,,,183,,,288,,228
NAGAHUT ROCKS,C GULF,10,,,,,,,,,,,,41.5,51,0,1,,1,,0,0,0,,10,,1,,1,,,2,21,0,0,,,0,,22,
NAGAI ROCKS,C GULF,8,,,,,,,,798,,,,233,196,245,362,,331,,180,204,312,,228,,231,,330,329,,449,234,218,201,254,,220,,251,
NAGAI/MOUNTAIN POINT,W GULF,7,,,,,,,,183,,90,,22,0,0,5,,88,,120,0,24,,62,,105,,80,,56,148,60,,,10,,120,3,,128
NAGAI/RK W OF CAPE WEDGE,W GULF,7,,,,,,,,,,30,,0,,,,,,,0,0,0,,0,,0,,0,,0,0,0,,,,,,,,0
NOISY,C GULF,9,,,,,,,,,,,,,,0,0,,0,,0,0,0,,0,,0,,0,,0,0,0,,0,,,0,,0,
NUKA POINT,C GULF,10,,,,,,,,,,,,,,0,0,,,,0,0,0,,0,,0,,0,,0,0,0,,0,,,0,,0,
OGCHUL,E ALEU,6,,,,,,,712,547,486,,,217,240,228,235,,209,,155,166,202,,117,,105,,139,143,132,152,200,224,268,210,,,272,,220
OGLIUGA,C ALEU,3,,,,,,,,,,,,,,,,,,,,,,,0,,34,,49,,,,0,,2,,,,22,,
OGLODAK,C ALEU,4,,,,,,,,,,,,0,,40,77,,44,,82,,71,,66,,76,,86,,111,58,99,86,86,44,,,65,,45
OLD MAN ROCKS,E ALEU,6,,,,,,,93,284,,,,0,89,126,148,,77,,104,138,148,,114,,25,,71,,112,81,89,,196,126,,35,15,,124
OLGA ROCKS,W GULF,7,,,,,,,,,,,,,,,152,,,,262,266,375,,248,,164,,128,,130,131,176,,,240,,231,332,,215
OMEGA,W GULF,7,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,1,0,0,,,,,0,0,,0
OTTER ISLAND,E ALEU,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,
OUTER (PYE),C GULF,10,3142,3155,,,,,,,,,,1127,661,489,378,,406,,318,224,278,,262,,226,,222,367,251,268,249,231,269,308,,255,,278,
OUTER SIGNAL,E ALEU,6,,,,,,,146,0,,,,0,35,14,52,,36,,34,14,46,,2,,0,,0,,0,0,10,,52,,,2,1,,32
PERL,C GULF,10,,,,,,,,,,,,125.5,111,66,161,,92,,239,136,127,,48,,99,,49,,,241,144,150,217,140,,95,,44,
PERL ROCKS,C GULF,10,,,,,,,,,,,,,,,2,,,,,0,0,,0,,0,,0,,,0,0,,0,,,0,,0,
PERRY,E GULF,10,,,,,,,,,,,,0,0,0,0,,0,,0,,0,,0,,0,,,,218,437,227,,0,0,,0,,0,
PINNACLE ROCK,W GULF,7,3692,2731,,,,,,1588,1932,,,1366,1305,1048,1092,,977,,1026,1007,864,,868,,1034,,1011,892,1167,1057,1094,1132,,1126,,1130,1152,,1150
PLEIADES,E GULF,10,,,,,,,,,,,,0,0,0,0,,0,,0,,0,,0,,0,,,,0,0,0,,0,,,0,,0,
POINT ELEANOR,E GULF,10,,,,,,,,,,,,0,0,0,0,,0,,0,,0,,0,,0,,,,0,0,0,,0,,,0,,0,
POINT ELRINGTON,E GULF,10,,,,,,,,,,,,487,382,316,332,,298,,230,,135,,128,,114,,132,,58,37,169,162,81,42,,98,,178,
POINT LaTOUCHE,E GULF,10,,,,,,,,,,,,,,,,,,,,,,,0,,2,,0,,0,0,0,,0,,,0,,0,
POLIVNOI ROCK,E ALEU,6,,,,,,,124,3,,,,0,93,64,24,,53,,128,116,162,,108,,98,,91,,42,96,93,,136,28,,,126,,110
PROCESSION ROCKS,E GULF,10,,,,,,,,,,,,,,,,,,,,,,,146,,147,,36,,67,77,102,113,185,108,,125,,183,
PUALE BAY,C GULF,8,,,,,,,,834,,,,309,387,296,278,,264,,168,143,136,,84,,94,,58,,2,1,2,,84,0,,100,,124,
